,Column,H_Statistic,P_Value,F_Regression_Score,F_Regression_P_Value,Distance Correlation,mutual_info_score_reg,pearson_corr,Boost_Factor,Chi2_Score,Chi2_P_Value,t_stat,p_value,WoE,IV,Average CTR 1,Average CTR 0,Standard Deviation CTR 1,Standard Deviation CTR 0,Frequency of 1s,inc_dec_presence,inc_dec_presence_overall
35,contentFeaturization_backgroundColors##orange,0.1875617229452214,0.664953769674957,0.38866254494547936,0.5343551778481794,0.11830406724444678,0.030373982422665202,-0.06072805874323741,0.41999647202963497,5.0212121212121215,0.8324552377521519,-0.6234280591579745,0.5343551778481792,-0.0841030537232512,0.0011522872653367134,0.11031178414379929,0.12056529862791467,0.03444492179928748,0.06784649258241938,18,-8.504532067522591,-1.971481508432367
24,contentFeaturization_tags##camisole,0.6913119635252122,0.40571849148947836,0.35375948735334817,0.5532722148173901,0.15207178615142491,0.06371922360539362,-0.05794674278228842,0.41924833367275954,12.819480519480521,0.1709461486125552,-0.5947768382791536,0.5532722148173896,-0.09334840756311169,0.0011001952806893214,0.10940768027559855,0.12026038890983237,0.029199055852106807,0.06710665344232046,14,-9.024341874007122,-2.7749130135078435
39,contentFeaturization_visualAttentionSpread##high,0.12288550995086674,0.7259257509945762,0.33627674133309443,0.5632285574111644,0.14381233520586534,0.01815253431213293,0.05650142919360284,1.3671789551315303,9.20909090909091,0.41820158047077466,0.5798937327934268,0.5632285574111666,0.0713751034667524,0.0009295069974952482,0.12652029477314325,0.11718225104298942,0.06485222086017628,0.06340469228596411,19,7.968820915317696,12.432204337842908
38,contentFeaturization_visualAttentionSpread##low,0.12288550995086674,0.7259257509945762,0.33627674133309143,0.5632285574111644,0.143812335205888,0.01815253431213293,-0.05650142919360284,0.9300584165971231,1.9883264462809926,0.9916508638025879,-0.5798937327934268,0.5632285574111666,-0.01593108434371531,0.00020746806177406285,0.11718225104298942,0.12652029477314325,0.06340469228596411,0.06485222086017628,88,-7.380668648375642,4.133955881602097
42,contentFeaturization_tags##face,0.0322530966639366,0.8574733005156042,0.32112266497637976,0.5721430923525517,0.07755340188513545,0.0,-0.0552176271333882,1.2576775092806707,5.590909090909091,0.7800601132863254,-0.5666768611619675,0.5721430923525562,-0.11482650276953929,0.0010614083822295703,0.10733239512912661,0.11989726669704746,0.04953811187940694,0.06468696197742152,9,-10.479698089923406,-4.6191142467233774
31,contentFeaturization_tags##underpants,0.36496804179372866,0.5457599749061883,0.29614674052936757,0.5874619820392366,0.1056694341357144,0.001868609605056637,0.05303312748041033,1.1005637886537534,2.847826086956522,0.9700235786340456,0.5441936608684144,0.5874619820392346,0.03632772791738061,0.0005752513566244806,0.1226975365047185,0.11593175431566788,0.05325220674855159,0.07047568556848467,46,5.836004319082613,9.035111882910176
45,contentFeaturization_tags##leggings,0.006173444283336722,0.9373736410313045,0.2857308745250179,0.5940994411820859,0.09755973186118512,0.0,0.052094734269259896,1.2576775092806707,5.590909090909092,0.7800601132863254,0.5345380010111709,0.5940994411820824,0.09982188350594492,0.000870526953970976,0.12969757336870408,0.11784332175667808,0.07921700227938484,0.06221509601860051,9,10.05933254028816,15.255691565207313
25,contentFeaturization_tags##hair,0.5999339281633104,0.4386032365895284,0.24367351599696394,0.6225963784616059,0.10115929408334563,0.0,0.04811784463890454,1.600758555590018,4.805050505050505,0.8509605444836505,0.4936329770152733,0.622596378461608,0.06300391520567791,0.0006839640931005236,0.12559805913015437,0.11747369245089902,0.04561822818177528,0.06661072859465168,18,6.915903050081729,11.612660039071816
44,contentFeaturization_tags##skin,0.025987416651536262,0.8719310524868404,0.17460726087135386,0.676902522437123,0.09442941777947904,0.0,-0.04074512929233402,1.1319947997674475,3.603134796238245,0.9355419974273258,-0.4178603365615778,0.6769025224371189,-0.04093738579798468,0.00044716772399098516,0.11461999651243637,0.1204095358155402,0.06608244501467425,0.06281690176829437,29,-4.808206645670521,1.8570095192714964
37,contentFeaturization_tags##tan,0.15584837707694524,0.6930079403475189,0.1405504558458938,0.7084905612841765,0.06836649038058698,0.0,-0.03656208938371655,0.9056016717009371,4.594385026737968,0.8681378669618229,-0.3749005946192846,0.708490561284183,-0.03271793242205251,0.00033592791042557724,0.11545677102005276,0.12041634901083556,0.060534087480039245,0.06512015547531103,34,-4.118691549381316,2.600608817658483
