,Column,H_Statistic,P_Value,F_Regression_Score,F_Regression_P_Value,Distance Correlation,mutual_info_score_reg,pearson_corr,Boost_Factor,t_stat,p_value,WoE,IV,Average CTR 1,Average CTR 0,Standard Deviation CTR 1,Standard Deviation CTR 0,Frequency of 1s,inc_dec_presence,inc_dec_presence_overall
47,contentFeaturization_tags##corset,0.19260885086105817,0.6607541058514862,0.7766312755671971,0.37849324060942247,0.10879175867857276,0.03628517136689968,0.03423133560298608,1.2490296905081606,0.881266858316594,0.37849324060947365,0.09048528373569792,0.0008285132371218969,0.14279600624828756,0.13091050517246827,0.1319339130629737,0.09972135157502433,65,9.079104125494524,8.448311005382305
50,contentFeaturization_tags##underwear,0.1285404258289236,0.7199502012784712,0.7335988903268751,0.3920290535141743,0.04257615757394383,0.0,-0.03327053913494371,0.9884470229706132,-0.8565038764225522,0.3920290535142279,-0.009644835949422689,8.403812207352263e-05,0.13097232149088933,0.14277089462793266,0.10145210446529203,0.11979408496795797,602,-8.263990477744738,-0.5313423861165102
41,contentFeaturization_overallTone##neutral,0.29362526069838546,0.5879066892329256,0.710724349778459,0.3995079427941587,0.041447166256687526,0.011144925201297173,-0.032748287776074386,0.9877787642290092,-0.8430446902616957,0.39950794279422674,-0.007282036011525768,4.985950360891686e-05,0.13124148657662918,0.14578848440729825,0.10223893888716089,0.11950817663242844,626,-9.978152862902549,-0.3269214103691199
42,contentFeaturization_overallTone##warm,0.29362526069838546,0.5879066892329256,0.7107243497784356,0.3995079427941832,0.04144716625665189,0.011144925201297173,0.0327482877760744,1.2150527769027717,0.8430446902616957,0.39950794279422674,0.1147221184622349,0.0007854929404958881,0.14578848440729825,0.13124148657662918,0.11950817663242844,0.10223893888716089,38,11.084145882617214,10.72098802620127
61,contentFeaturization_foregroundColors##dark_gray,0.038009287285731906,0.8454244915819031,0.7102454110174924,0.399666731133434,0.06426111835474632,0.00046444186858107805,0.032737263633950256,1.4087799058595258,0.8427605893831865,0.3996667311334765,0.1017029654922541,0.0007760943684994447,0.1441746197196803,0.13113108970438725,0.12507949003405539,0.10142190513481784,48,9.946939390725314,9.495317195750472
48,contentFeaturization_visualContentDensity##low,0.159297696351082,0.6898039352444626,0.6931702854889591,0.40538838582221215,0.04518870830935473,0.0,0.03234176530680831,1.0082835170833673,0.8325684869660721,0.4053883858222507,0.010807902523674385,0.00010296971064684426,0.13331784435541505,0.12312135487950894,0.10486131632805479,0.09096824473254357,583,8.281657951120474,1.2499959003341352
10,contentFeaturization_tags##back,2.6874051991522543,0.10114440216006809,0.6510108933717538,0.42004126616095305,0.08341760882431708,0.005186429429750561,-0.031343803459308074,0.7602733936930585,-0.8068524607211351,0.4200412661610041,-0.10044630983288,0.0007613610054524357,0.12097914648103633,0.1330166950775054,0.11794658310736704,0.10196592172195189,52,-9.049652443593722,-8.120790997973252
68,contentFeaturization_tags##dress,8.752081758724488e-05,0.9925356944379854,0.6268604908017078,0.42879284624802516,0.08655622083255812,0.027125626766393074,0.030757492790172546,1.228071208225154,0.7917452183636523,0.4287928462480768,0.10521535710791292,0.0006930744995668447,0.14460854965913725,0.131270498426413,0.1261461525991388,0.10168511528252544,40,10.160737860076937,9.824871013571894
37,contentFeaturization_foregroundColors##khaki,0.48010641583610925,0.4883741185789403,0.5895753668729395,0.44285715678796633,0.03834039807001206,0.0,-0.029829595593282042,0.973584140010397,-0.7678381124123338,0.4428571567880347,-0.02157447813756587,0.00028235020011851676,0.12962047401541543,0.1359349633883277,0.10299648338722311,0.10375032625206608,406,-4.645228288231892,-1.558020787731769
26,contentFeaturization_tags##active_wear,1.0462231453243294,0.30637853673219617,0.5747964147650333,0.44862902770795965,0.04923612475520782,0.011998686263752667,-0.029453680359010984,0.684225082336251,-0.7581532923921347,0.44862902770801383,-0.1105562901014894,0.0006891645085579719,0.11990813208193231,0.13283314536520294,0.10418707964795171,0.10323612003827148,39,-9.730262162907778,-8.93418701440889
