Column,H_Statistic,P_Value,F_Regression_Score,F_Regression_P_Value,Average CTR 1,Average CTR 0,Standard Deviation CTR 1,Standard Deviation CTR 0,Frequency of 1s,t_stat,p_value,inc_dec_presence,inc_dec_presence_overall,pearson_corr,Distance Correlation,Boost_Factor
contentFeaturization_tags##sports_bra,0.13748132711561759,0.7107978644851471,0.03641987272880122,0.849037928771333,0.4123846822728603,0.4081177057002067,0.15361783656909272,0.06976206899221547,24,0.19083991387757876,0.849037928771335,1.0455259629897031,0.7975578131083877,0.019080517154025044,0.1639306817110126,1.04736443148649
contentFeaturization_tags##lace,0.12981235715578035,0.7186266727865953,0.034919321957742444,0.8521434101737068,0.4120755520065951,0.4080583135331561,0.0754669800912695,0.10196981845400974,27,0.1868671238012232,0.8521434101737144,0.984476566267196,0.7219983240558152,0.01868345059771222,0.0875415167503704,0.8819949472155733
contentFeaturization_tags##face,0.11294409556330764,0.7368169018331419,0.004590016992538488,0.9461201919973508,0.40691877889660305,0.4093091828509781,0.1076444691643213,0.09485043578297819,8,-0.06774966415074217,0.9461201919973233,-0.584009363710114,-0.5384513435183605,-0.006774810934371884,0.09166895236797389,1.2567609402475741
contentFeaturization_tags##waist,0.10400769813861935,0.7470722371467626,0.16108135624671202,0.6890192531804344,0.402617766181537,0.4113467302426949,0.07535441726082685,0.10161393848163677,26,-0.4013494191433642,0.6890192531804318,-2.122045325608355,-1.5897308804118586,-0.040102655959712255,0.11225623598857613,0.9309934633195429
contentFeaturization_tags##stand,0.10128935340553724,0.7502878118142889,0.007205641277362325,0.9325216970498752,0.41143764333226257,0.4088417510165921,0.07827171723795838,0.0975538017533246,11,0.08488604877930625,0.9325216970499025,0.6349381659812745,0.5660768283151606,0.00848829906524861,0.06781590586181137,1.745527021057632
contentFeaturization_foregroundColors##orange,0.08907583193832687,0.7653553478545363,0.41088830888177436,0.5229853126735802,0.4063127051992015,0.422230343468436,0.07736074662923663,0.1566849610591247,84,-0.6410057011304788,0.5229853126735842,-3.7698944463531823,-0.6865915416851225,-0.06396928368099015,0.1314203683919904,0.9721006009740366
contentFeaturization_visualAttentionSpread##high,0.052089327327291504,0.8194667684620325,0.005070900047202981,0.9433726437534916,0.40766249027308976,0.4094343880267757,0.08067622779387536,0.09861352555808832,18,-0.0712102524023267,0.9433726437534908,-0.4327672040996316,-0.3566689115072597,-0.007120844697062806,0.07503336711009492,0.6543745615704839
contentFeaturization_visualAttentionSpread##low,0.052089327327291504,0.8194667684620325,0.005070900047202807,0.9433726437534916,0.4094343880267757,0.40766249027308976,0.09861352555808832,0.08067622779387536,84,0.0712102524023267,0.9433726437534908,0.4346482190448609,0.07642905246584815,0.007120844697062783,0.07503336711016367,1.0848882921114142
contentFeaturization_tags##bodysuit,0.043236947871597535,0.8352797510552992,0.20833245066705156,0.6490673765615165,0.41510599237649054,0.40599557740280007,0.11880473506997881,0.08128087653671395,35,0.45643449767414257,0.649067376561526,2.243969018571787,1.4627168849396988,0.04559597886878106,0.08977534584497432,1.0929112039800728
contentFeaturization_tags##leg,0.031773462266719246,0.8585257634779244,0.002906528312242066,0.9571126531385001,0.40826936074870807,0.40942854238599535,0.08038341602787849,0.10066080455777285,27,-0.053912227854563406,0.9571126531384775,-0.2831218435656717,-0.20833395999048668,-0.005391144438455607,0.09565842316880746,1.0473676462344859
contentFeaturization_backgroundColors##off_white,0.0040676212493800925,0.9491470711701261,0.16182083170623904,0.6883441856135404,0.4055970456202626,0.4132462959585176,0.08370373097011106,0.10814783455774414,55,-0.4022696007732104,0.6883441856135382,-1.851014857982616,-0.8615173837047975,-0.040194451725285636,0.08685329625661366,1.0583179325788774
contentFeaturization_tags##skin,0.002122606084454659,0.9632530628749797,0.17871910750737854,0.6733840158224691,0.40227153971077684,0.4114651761405865,0.07850479973794984,0.10080510669969281,26,-0.4227518273258916,0.6733840158224647,-2.234365618991878,-1.6743576480952043,-0.04223745637857837,0.08053201335104271,1.1089759059629378
contentFeaturization_tags##hair,0.001926380448472477,0.9649916474228144,0.029886250714362978,0.8630980049902327,0.40557963060906554,0.40988071509763796,0.1021417144684434,0.09443578153889472,18,-0.1728764030004161,0.8630980049902479,-1.0493502939136454,-0.8657740660536111,-0.017285057565178015,0.10251137684870006,1.3329925387547827
